ID,Name,Conf,Disabled,Campaigns,IconOverride,SkinGroupId,ObtainType,ObtainTypeCN,LastChance,MasterSkin,PetSkin,PetSkin2,PriceClubCoins,PriceStarPoints,PriceBling,PriceGems,DiscountPriceGems,PriceCoins,Rarity,TID,ShopTID,Features,CommunityCredit,MaterialsFile,BlueTexture,RedTexture,BlueSpecular,RedSpecular,OutlineShader,PackOfferAnimOverride,BattleIntroXOffset,BattleIntroZOffset,BattleIntroVFX,DisableCatalogRelease,CatalogPreRequirementSkin,CatalogNewDaysAdjustment,NotInCatalogTID
0,BanditGirlDefault,BanditGirlDefault,,,,,,,,,,,,,,,,,,,,,,,shelly_v2_01.pvr,shelly_v2_01.pvr,shelly_v2_01.pvr,shelly_v2_01.pvr,,,,,,,,,
1,GunSlingerDefault,GunSlingerDefault,,,,,,,,,,,,,,,,,,,,,,,colt_tex.pvr,colt_tex.pvr,colt_tex.pvr,colt_tex.pvr,,,,,,,,,
2,GunSlingerRockstar,GunSlingerRockstar,,,,,,,,,,,,,1000,29,,,RARE,TID_GUNSLINGER_ROCKSTAR_SKIN,TID_GUNSLINGER_ROCKSTAR_SKIN_SHOP,MODEL,,,colt_rockstar_tex.pvr,colt_rockstar_tex.pvr,colt_rockstar_tex.pvr,colt_rockstar_tex.pvr,,,,,,,,,
3,BullGuyDefault,BullGuyDefault,,,,,,,,,,,,,,,,,,,,,,,bull_tex_01.pvr,bull_tex_01.pvr,bull_tex_01.pvr,bull_tex_01.pvr,,,,,,,,,
4,RocketGirlDefault,RocketGirlDefault,,,,,,,,,,,,,,,,,,,,,,,"brock_tex.pvr+hue(masks/brock/brock_ammo_msk.png,230.233002)",brock_tex.pvr,"brock_tex.pvr+hue(masks/brock/brock_ammo_msk.png,213.488007)",brock_tex.pvr,,,,,,,,,
5,RocketGirlBeach,RocketGirlBeach,,SUMMER,,,,,,,,,,,2750,79,69,,SUPER_RARE,TID_ROCKET_BEACH_SKIN,TID_ROCKET_BEACH_SKIN_SHOP,"MODEL,VFX,SFX",,,"brock_beach_tex.pvr+hue(masks/brock/brock_ammo_beach_msk.png,230.233002)",brock_beach_tex.pvr,"brock_beach_tex.pvr+hue(masks/brock/brock_ammo_beach_msk.png,213.488007)",brock_beach_tex.pvr,,,,,,,,,
6,TntGuyDefault,TntGuyDefault,,,,,,,,,,,,,,,,,,,,,,,"dynamike_tex.pvr+hue(masks/dynamike/dynamike_red_blue_msk.png,221.860001)",dynamike_tex.pvr,"dynamike_tex.pvr+hue(masks/dynamike/dynamike_red_blue_msk.png,213.488007)",dynamike_tex.pvr,,,,,,,,,
7,LuchadorDefault,LuchadorDefault,,,,,,,,,,,,,,,,,,,,,,,primo_tex.pvr,primo_tex.pvr,primo_tex.pvr,primo_tex.pvr,,,,,,,,,
8,TurretDefault,TurretDefault,,,,,,,,,,,,,,,,,,,,,,,jessie_turret_tex.pvr,jessie_turret_tex.pvr,jessie_turret_tex.pvr,jessie_turret_tex.pvr,,,,,,,,,
9,TrickshotDefault,TrickshotDefault,,,,,,,,,,,,,,,,,,,,,,,rico_tex.pvr,rico_tex.pvr,rico_tex.pvr,rico_tex.pvr,,,,,,,,,
10,CactusDefault,CactusDefault,,,,,,,,,,,,,,,,,,,,,,,spike_tex.pvr,spike_tex.pvr,spike_tex.pvr,spike_tex.pvr,,,,,,,,,
11,CactusPink,CactusPink,,GOLDENWEEK,,,,,,,,,,,2750,79,69,,SUPER_RARE,TID_CACTUS_PINK_SKIN,TID_CACTUS_PINK_SKIN_SHOP,"MODEL,VFX",,,spike_blossom_tex.pvr,spike_blossom_tex.pvr,spike_blossom_tex.pvr,spike_blossom_tex.pvr,,,,,,,,,
12,BarkeepDefault,BarkeepDefault,,,,,,,,,,,,,,,,,,,,,,,barley_tex.pvr,barley_tex.pvr,barley_tex.pvr,barley_tex.pvr,,,,,,,,,
13,MechanicDefault,MechanicDefault,,,,,,,,,TurretDefault,,,,,,,,,,,,,,jessie_tex.pvr,jessie_tex.pvr,jessie_tex.pvr,jessie_tex.pvr,,,,,,,,,
14,ShamanDefault,ShamanDefault,,,,,,,,,ShamanBearDefault,,,,,,,,,,,,,,nita_tex.pvr,nita_tex.pvr,nita_tex.pvr,nita_tex.pvr,,,,,,,,,
15,ShamanPanda,ShamanPanda,,,,,,,,,ShamanBearPanda,,,,1000,29,,,RARE,TID_SHAMAN_PANDA_SKIN,TID_SHAMAN_PANDA_SKIN_SHOP,"MODEL,PET",,,nita_panda_tex.pvr,nita_panda_tex.pvr,nita_panda_tex.pvr,nita_panda_tex.pvr,,,,,,,,,
16,ShamanBearDefault,ShamanBearDefault,,,,,,,,,,,,,,,,,,,,,,,nita_bear_tex.pvr,nita_bear_tex.pvr,nita_bear_tex.pvr,nita_bear_tex.pvr,,,,,,,,,
17,ShamanBearPanda,ShamanBearPanda,,,,,,,,,,,,,,,,,,,,,,,nita_bear_panda_tex.pvr,nita_bear_panda_tex.pvr,nita_bear_panda_tex.pvr,nita_bear_panda_tex.pvr,,,,,,,,,
18,UndertakerDefault,UndertakerDefault,,,,1,,,,,,,,,,,,,,,,,,,mortis_v2_tex.pvr,mortis_v2_tex.pvr,mortis_v2_tex.pvr,mortis_v2_tex.pvr,,,,,,,,,
19,CrowDefault,CrowDefault,,,,,,,,,,,,,,,,,,,,,,,crow_tex.pvr,crow_tex.pvr,crow_tex.pvr,crow_tex.pvr,,,,,,,,,
20,CrowWhite,CrowWhite,,,,,,,,,,,,,2750,79,69,,SUPER_RARE,TID_CROW_WHITE_SKIN,TID_CROW_WHITE_SKIN_SHOP,"MODEL,TEXTURE",,,crow_white_tex.pvr,crow_white_tex.pvr,crow_white_tex.pvr,crow_white_tex.pvr,,,,,,,,,
21,DeadMariachiDefault,DeadMariachiDefault,,,,,,,,,,,,,,,,,,,,,,,poco_tex.pvr,poco_tex.pvr,poco_tex.pvr,poco_tex.pvr,,,,,,,,,
22,BowDudeDefault,BowDudeDefault,,,,,,,,,BowDudeTotemDefault,,,,,,,,,,,,,,bo_tex.pvr,bo_tex.pvr,bo_tex.pvr,bo_tex.pvr,,,,,,,,,
23,SniperDefault,SniperDefault,,,,,,,,,,,,,,,,,,,,,,,piper_tex.pvr,piper_tex.pvr,piper_tex.pvr,piper_tex.pvr,,,,,,,,,
24,MinigunDudeDefault,MinigunDudeDefault,,,,,,,,,HealstationDefault,,,,,,,,,,,,,,,,,,,,,,,,,,
25,BullGuyHair,BullGuyHair,,,,,,,,,,,,,2750,79,69,,SUPER_RARE,TID_BULL_HAIR_SKIN,TID_BULL_HAIR_SKIN_SHOP,MODEL,,,bull_viking_tex.pvr,bull_viking_tex.pvr,bull_viking_tex.pvr,bull_viking_tex.pvr,,,,,,,,,
